id,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Attachment URL",Categories,Tags,Status,Author,Slug,Format,Template,Parent,Order,"Comment Status","Ping Status"
1727,"Scarinci Hollenbeck Officially Launches Business Blog","<strong>Launch Supports New Jersey Chamber of Commerce's ""Walk to Washington""</strong>

<strong>Lyndhurst, NJ—January 19, 2012</strong>—<a href=""http://www.linkedin.com/in/donaldscarinci"">Donald Scarinci</a> of Scarinci Hollenbeck announced today that Scarinci Hollenbeck will not be hosting a reception at the <a href=""http://www.njchamber.com/"">New Jersey Chamber of Commerce's</a>75th Annual ""<a href=""http://www.njchamber.com/index.php/chamber-events/event-photos/49-2012-walk-to-washington-all-photos"">Walk to Washington</a>"" in Washington DC next week, but will instead launch its ""<a href=""http://www.businesslawnews.com/"">Business Law Blog</a>"" and the first video of its seven part YouTube series, entitled ""<a href=""http://youtu.be/4hrBhVXGMwM"">Tax Issues That Impact Your Wealth: Cash Audits</a>"", which focuses on tax issues facing small businesses.

Scarinci said, ""The economy continues to present a serious challenge for <a href=""http://scarincihollenbeck.com/practices/corporate-transactions-and-business/"">businesses</a> in <a href=""http://www.nj.gov/"">New Jersey</a>. We believe that our support for the New Jersey Chamber of Commerce as one of their sponsors and the content that we can provide on our business law blog will be more meaningful to the business community than sponsoring a party in Washington DC.""

<a href=""http://www.njchamber.com/index.php/about-the-nj-chamber-of-commerce/our-staff/33-about-the-chamber/staff/105-thomas-a-bracken"">Thomas A. Bracken</a>, President and CEO of the New Jersey Chamber of Commerce said, ""We are pleased that Scarinci Hollenbeck decided to launch its important new social media initiatives in conjunction with our 75th Annual 'Walk to Washington.' Our members will be able to access the kind of information they need to remain competitive and which helps make a membership with the state chamber of commerce valuable.""

Scarinci Hollenbeck's ""Business Law Blog"" is one component of Scarinci Hollenbeck's new integrated social media website design, which is scheduled to launch on Tuesday, January 24, 2012, in conjunction with the New Jersey Chamber of Commerce's 75th annual ""Walk to Washington"". The Firm has already launched its<a href=""http://www.taxtrustestatenews.com/"" target=""new"">Tax, Trusts &amp; Estates Blog</a>, a<a href=""http://www.newjerseybankruptcynow.com/"" target=""new""> Bankruptcy and Creditors' Rights Blog</a>, and a <a href=""http://www.sportsentertainmentattorney.com/"" target=""new"">Sports and Entertainment Blog</a>.",,20120119,post,http://scarincihollenbeck.com/news/just-in/scarinci-hollenbeck-officially-launches-business-blog/,,,,,,,"Firm News>Just In",,publish,10,scarinci-hollenbeck-officially-launches-business-blog,,,0,0,open,open
1733,"Sports and Entertainment Come to Scarinci Hollenbeck","<strong>Lyndhurst, NJ—January 17, 2012</strong>—Donald Scarinci of Scarinci Hollenbeck announced today the official release of Scarinci Hollenbeck's ""<a href=""http://www.sportsentertainmentattorney.com/"">Sports and Entertainment Law Blog</a>"", edited by <a href=""http://scarincihollenbeck.com/attorneys/anthony-r-caruso-esq/"">Anthony R. Caruso</a>, the Chair of its Sports and Entertainment Law Practice Group. Caruso is nationally recognized as a lawyer appearing with clients and as a commentator on CNBC, NBC, Fox, and other media outlets.

When asked to comment, Mr. Caruso said, ""The blog is geared towards legal and business issues in the sports and entertainment industry. Business managers, actors, athletes, and others in the sports and entertainment world will have access to important updates and legal perspectives in the field."" Donald Scarinci, Managing Partner at Scarinci Hollenbeck, also commented: ""The new blog will inaugurate the firm's newly established group and highlights the talent and leadership of Anthony Caruso, a highly respected sports and entertainment law practitioner.""

Anthony Caruso's Sports and Entertainment Law Blog is one component of Scarinci Hollenbeck's new integrated social media website design, which is being rolled out during the month of January in conjunction with the New Jersey Chamber of Commerce's 75th annual ""Walk to Washington"" on January 26, 2012. The Firm has already launched its Tax, Estate &amp; Trust blog, available at <a href=""http://www.taxtrustestatenews.com/"">www.taxtrustestatenews.com</a>, and its Bankruptcy and Creditors' Rights blog at <a href=""http://www.newjerseybankruptcynow.com/"">www.newjerseybankruptcynow.com</a>. Scarinci Hollenbeck also released a YouTube channel last week, which can be viewed at: <a href=""http://www.youtube.com/scarincihollenbeck"">www.youtube.com/scarincihollenbeck</a>.

If you are interested in signing up to receive the most recent information pertaining to sports and entertainment law, please join the blog's email list by visiting:<a href=""http://www.sportsentertainmentattorney.com/"">www.sportsentertainmentattorney.com</a>",,20120117,post,http://scarincihollenbeck.com/news/just-in/sports-and-entertainment-come-to-scarinci-hollenbeck/,,,,,,,"Firm News>Just In",,publish,10,sports-and-entertainment-come-to-scarinci-hollenbeck,,,0,0,open,open
1840,"Scarinci Hollenbeck Officially Launches  YouTube Channel","<strong>First Video to Be Released is ""What is Redistricting in the United States?""</strong>

<strong>Lyndhurst, NJ - January 12, 2012</strong> - Scarinci Hollenbeck announces the official launch of its YouTube channel at:
<a href=""http://www.youtube.com/user/ScarinciHollenbeck"">www.youtube.com/ScarinciHollenbeck</a>. The first video, entitled ""<em>What is Redistricting in the United States?</em>"" will feature Donald Scarinci, managing partner of Scarinci Hollenbeck and author of the book <a href=""http://www.amazon.com/Redistricting-Politics-Reform-Donald-Scarinci/dp/0983161208/ref=sr_1_1?ie=UTF8&amp;qid=1325864861&amp;sr=8-1"">Redistricting and the Politics of Reform</a>.

In ""What is Redistricting in the United States,"" Scarinci explains the redistricting process in simple language and outlines its history since 1787. He notes, ""In just less than four minutes, this video will help everyone understand the background of the news reporting this year's redistricting battles across the country.""

The sequel, entitled ""Redistricting Politics and the Courts,"" will be released on Tuesday, January 17. Scarinci Hollenbeck plans to release a new video on its YouTube site and companion blogs every Tuesday.

Scarinci Hollenbeck's YouTube channel is one component of the law firm's new, integrated social media web site design, which is being rolled out during the month of January to coincide with the New Jersey Chamber of Commerce's 75th annual ""Walk to Washington"" on January 26, 2012. The firm has already launched its Tax, Estate &amp; Trust blog, available at <a href=""http://www.taxtrustestatenews.com/"" target=""new"">www.taxtrustestatenews.com</a> and its Bankruptcy and Creditors' Rights blog, available at<a href=""http://www.newjerseybankruptcynow.com/"" target=""new"">www.newjerseybankruptcynow.com</a>.",,20120112,post,http://scarincihollenbeck.com/news/scarinci-hollenbeck-officially-launches-youtube-channel/,,,,,,,"Firm News",,publish,10,scarinci-hollenbeck-officially-launches-youtube-channel,,,0,0,open,open
1931,"Free Seminar: Important Personal & Business Tax Issues that Impact Your Wealth","<strong>Important Personal &amp; Business Tax Issues that Impact Your Wealth</strong>

Thursday November 17, 2011 | 8:30 AM to 10:30 AM EST

<strong>Program Overview</strong>
<p align=""left"">We are pleased to invite you to a seminar discussing important personal and business tax issues that impact your personal wealth planning and business activity presented by Frank L. Brunetti &amp; James F. McDonough, Jr.</p>
<p align=""left"">Topics of Discussion will include:</p>
<p align=""left"">Using the current low interest rate environment in your wealth transfer planning.</p>
Why you should be concerned about the IRS's program on classification ofindependent contractors.

The New Jersey initiative on cash audits of small businesses.

Qualified Small Business Stock

Dynasty Trust Planning in an era of low interest rates, large exclusion, depressed asset values as a means to avoid estate tax and increase asset protection.

Disclaimers &amp; Decanting - fixing the broken estate plan.
<p align=""left""><strong>Presenter</strong></p>
<p align=""left""><strong>Frank L. Brunetti</strong>  Mr. Brunetti is Chair of Scarinci Hollenbecks Tax, Trusts and Estates Group; Professor of Law and Taxation at the Fairleigh Dickinson University MS in Taxation Program and author of <em>Fundamentals of Federal Tax Accounting </em>published by the American Law Institute-American Bar Association. Mr. Brunetti has extensive experience assisting tax practitioners with issues regarding tax controversies and the IRS and State and Local Agencies.</p>
<p align=""left""><strong>James F. McDonough, Jr. </strong>- Mr. McDonough concentrates on wealth preservation and estate planning for high net worth individuals, closely held business matters and ownership succession, estate administration and income tax planning.</p>
<p align=""left""><strong>Agenda</strong></p>
8:30 - 9:00 a.m. Registration, Continental Breakfast

9:00 - 10:30 a.m. Program, Q&amp;A Session

<strong>Course Information</strong>

Cost - FREE (Includes a continental breakfast and program materials.)

<strong>Location</strong>

Sheraton Eatontown Hotel 6 Industrial Way East Eatontown, NJ 07724

<strong>Registration Information</strong>",,20111101,post,http://scarincihollenbeck.com/news/firm-events/free-seminar-important-personal-business-tax-issues-that-impact-your-wealth/,,,,,,,"Firm News>Firm Events",,publish,10,free-seminar-important-personal-business-tax-issues-that-impact-your-wealth,,,0,0,open,open
1934,"Scarinci Hollenbeck's FREE Monthly CPE Seminar Series","<strong>Adoption and Changes in Accounting Methods and Periods</strong>

Wednesday, December 10, 2008 l 5:30 - 9:00 p.m.

<strong>Program Overview</strong>
<p align=""left"">Once a taxpayer has adopted a method of accounting, a change in a method of accounting occurs when changes are made to the treatment of an item of income or expense. Any change of accounting method must be made in compliance with IRS approval procedures. Taxpayers who do so without the Commissioner�s consent risk adverse ramifications, including significant penalties and fines.</p>
<strong>Presenter</strong>
<p align=""left""><strong>Frank L. Brunetti</strong> � Mr. Brunetti is Chair of Scarinci Hollenbeck�s Tax, Trusts and Estates Group; Professor of Law and Taxation at the Fairleigh Dickinson University MS in Taxation Program and author of <em>Fundamentals of Federal Tax Accounting </em>published by the American Law Institute-American Bar Association. Mr. Brunetti has extensive experience assisting tax practitioners with issues regarding tax controversies and the IRS and State and Local Agencies.</p>
<strong>Agenda</strong>

5:30 - 6:00 p.m. Registration, Light Dinner

6:00 - 9:00 p.m. Program, Q&amp;A Session

<strong>CPE Credits/Course Information</strong>

CPE - 3 credits

Course Level - Intermediate

Prerequisites - None

Cost - FREE (Includes a light dinner and program materials.)

<strong>Location</strong>

Scarinci Hollenbeck, 1100 Valley Brook Avenue Lyndhurst, NJ 07071",,20081201,post,http://scarincihollenbeck.com/news/firm-events/scarinci-hollenbecks-free-monthly-cpe-seminar-series/,,,,,,,"Firm News>Firm Events",,publish,10,scarinci-hollenbecks-free-monthly-cpe-seminar-series,,,0,0,open,open
1938,"Protecting Your Attorney-Client Privilege Today","The attorney-client privilege is, in its broad outlines, familiar to most people. The privilege belongs to the client and covers confidential communications by the client to his or her attorney for the purpose of obtaining legal advice. The privilege also covers the legal advice given by the attorney to the client in response to the client's request. The effect of the privilege is to protect these confidential communications from, for example, forced disclosure in a lawsuit. However, because the privilege depends upon the communications remaining confidential, it may be lost or ""waived"" if the communications are made in the presence of a third party or otherwise disclosed to a third party.

&nbsp;

In the not too distant past, preservation of the confidentiality of these privileged attorney-client communications was relatively routine and easy to protect. Many of these communications were documentary in form, legended as ""confidential"" and ""privileged"", and placed in files marked ""confidential"" or ""attorney-client communications"". The making and dissemination of copies of these confidential and privileged documents were within the control of the custodian of the files. This control reduced significantly the risk that the document or copies of the document, through inadvertence or otherwise, might be distributed to third parties or, in the case of large organizations, to employees who had no need to be involved in the privileged communications because the subject matter of the communications fell outside the scope of their employment duties and responsibilities. The risk of ""waiving"" or losing the privilege that attached to these communications was, therefore, manageable.

Advances in information technology have greatly complicated the protection of privileged attorney-client communications. Email communications have, to a large extent, replaced documentary communications. Discrete attorney-client communications, particularly in large organizations, not infrequently become part of lengthy email strands or ""strings"", which consist largely of non-privileged, business communications. These email ""strings"" may now be forwarded to numerous recipients with one click of a computer mouse. These features of modern-day communications greatly increase the risk of attorney-client communications being sent to third parties or to employees who are outside the scope of the privilege and, therefore, greatly increase the risk of ""waiving"" or losing the privilege that would otherwise attach to the attorney-client communications buried within the email ""string"".

It has become routine for attorneys to place on all emails a footer or tag which characterizes the communication as privileged and requests unintended recipients to destroy and/or return electronic documents without reading them. These footers are usually in small print. They do little or nothing to alert a client that by forwarding the email or by including it in a string of emails any privilege attached to the communication may be waived and lost.

These risks may be significantly reduced in several ways. First, an attorney should take the time to discuss with clients the risks involved in communicating privileged information via email. Second, the attorney should clearly and at the beginning of an electronic communication to a client identify the communication as privileged. This can be accomplished by creating a conspicuous legend similar to the following: ""PRIVILEGED ATTORNEY-CLIENT MATERIAL--DO NOT FORWARD."" Third, the client can adopt and implement a requirement that all attorney-client email communications must bear a legend identifying them as such and that careful consideration must be given before forwarding these communications. Fourth, given the fallibility of human nature, computer programs and applications can be installed which will prevent privileged material so legended from being forwarded by the recipient. Although the protection afforded by these programs and applications is not absolute, circumvention requires effort and, for this reason, these devices should serve to prevent inadvertent or unintended dissemination of privileged materials.

Although these measures may seem burdensome, new Court Rules and discovery techniques relating to electronic storage of information make it increasingly likely that emails and other electronically stored documents that relate to litigation strategy and legal advice will become available to adversaries. And in non-litigation matters, legal advice not intended to be transmitted to employees and competitors may, through inadvertence or otherwise, be so transmitted and lose the protection of the attorney-client privilege.

We recommend public entities consider adopting guidelines for the use of e-mails, texting or other electronic communication to avoid possible violations of the Open Public Meetings Act. Please contact our office for help drafting this policy

If you would like to discuss this Legal Update, please contact:

Robert E. Levy, Chair, Litigation Group:
<span class=""skype_c2c_print_container"">(201) 896-4100</span><span class=""skype_c2c_container"" dir=""ltr"" tabindex=""-1"" onmouseover=""SkypeClick2Call.MenuInjectionHandler.showMenu(this, event)"" onmouseout=""SkypeClick2Call.MenuInjectionHandler.hideMenu(event)""><span class=""skype_c2c_highlighting_inactive_common"" dir=""ltr""><span class=""skype_c2c_textarea_span""><img class=""skype_c2c_logo_img"" alt="""" src=""resource://skype_ff_extension-at-jetpack/skype_ff_extension/data/call_skype_logo.png"" /><span class=""skype_c2c_text_span"">(201) 896-4100</span></span></span></span> or
<a href=""mailto: rlevy@scarincihollenbeck.com"">rlevy@scarincihollenbeck.com</a>

Charles H. Friedrich, Counsel:
<span class=""skype_c2c_print_container"">(201) 896-4100</span><span class=""skype_c2c_container"" dir=""ltr"" tabindex=""-1"" onmouseover=""SkypeClick2Call.MenuInjectionHandler.showMenu(this, event)"" onmouseout=""SkypeClick2Call.MenuInjectionHandler.hideMenu(event)""><span class=""skype_c2c_highlighting_inactive_common"" dir=""ltr""><span class=""skype_c2c_textarea_span""><img class=""skype_c2c_logo_img"" alt="""" src=""resource://skype_ff_extension-at-jetpack/skype_ff_extension/data/call_skype_logo.png"" /><span class=""skype_c2c_text_span"">(201) 896-4100</span></span></span></span> or
<a href=""mailto: cfriedrich@scarincihollenbeck.com"">cfriedrich@scarincihollenbeck.com</a>
<div class=""skype_c2c_menu_container"" id=""skype_c2c_menu_container"" style=""display: none;"" onmouseover=""SkypeClick2Call.MenuInjectionHandler.showMenu(this, event)"" onmouseout=""SkypeClick2Call.MenuInjectionHandler.hideMenu(event)"">
<div class=""skype_c2c_menu_click2call""><a class=""skype_c2c_menu_click2call_action"" id=""skype_c2c_menu_click2call_action""></a>Call</div>
<div class=""skype_c2c_menu_click2sms""><a class=""skype_c2c_menu_click2sms_action"" id=""skype_c2c_menu_click2sms_action""></a>Send SMS</div>
<div class=""skype_c2c_menu_add2skype""><a class=""skype_c2c_menu_add2skype_text"" id=""skype_c2c_menu_add2skype_text""></a>Add to Skype</div>
<div class=""skype_c2c_menu_toll_info""><span class=""skype_c2c_menu_toll_callcredit"">You'll need Skype Credit</span><span class=""skype_c2c_menu_toll_free"">Free via Skype</span></div>
</div>",,20120120,post,http://scarincihollenbeck.com/news/legal-updates/protecting-your-attorney-client-privilege-today/,,,,,,,"Firm News>Legal Updates",,publish,10,protecting-your-attorney-client-privilege-today,,,0,0,open,open
1941,"IS THE FIVE-MILLION DOLLAR GIFT TAX EXEMPTION ABOUT TO END?","<strong>By <a title=""Frank L. Brunetti"" href=""/attorneys/partners/frank-l-brunetti/"">Frank L. Brunetti</a> </strong>| The Tax Relief Act of 2010 made significant changes to the gift, estate and generation-skipping transfer tax regimes by increasing the amount each individual can give without incurring tax from $1 million to $5 million. The increase was not permanent however, and rumor has it that it may be in jeopardy. To avoid any risk, those who have decided to use their full exemptions should do so no later than December 31, 2011, and, if feasible, November 22.

Generally, loans between related parties are governed by the IRS code so that related parties cannot assign income without adverse tax consequences. There is a small exclusion between related parties so that a loan of $10,000 generally does not require that interest be charged.

<strong>The Rumors</strong>

Rumors circulating recently within the financial and estate-planning communities have suggested the $5 million exemptions may be in immediate jeopardy. Democratic staff on the U.S. House Committee on Ways and Means recently proposed decreasing the $5 million gift, generation-skipping transfer tax and estate tax exemptions to $3.5 million, effective January 1, 2012. There also are rumors the Joint Select Committee on Deficit Reduction (the Super Committee) may recommend a drop down in the gift tax exemption to $1 million, effective at year end, or possibly as early as November 23, 2011, when its recommendations are scheduled to be released, though there is no confirmation this rumor is true.

As we all know ""everything"" is on the table before the super-committee (although they would not admit it), I would caution you to advise your clients of these developments and act sooner rather than later.

<span class=""subnews"">Circular 230 requires that we notify you that, in the absence of written advice that strictly complies with such rules, you cannot rely on advice given to you relating to any Internal Revenue Code matter for protection against a tax penalty. This notice is neither intended to be used for the purpose of avoiding any tax penalty nor can it be relied on in support of any marketed transaction. It is our intention to continue to deliver the highest quality services to you and in a cost efficient manner. Please call us if you have and questions about how the Circular may affect our representation of you.</span>

<span class=""subnews"">This Scarinci Hollenbeck Legal Update has been prepared for the general information of clients and friends of the firm. It is not meant to provide legal advice with respect to any specific matter and should not be acted upon without professional counsel.</span>",,20110118,post,http://scarincihollenbeck.com/news/legal-updates/is-the-five-5-million-dollar-gift-tax-exemption-about-to-end/,,,,,,,"Firm News>Legal Updates","exemptions|Frank L. Brunetti|IRS|tax|Tax Relief Act",publish,10,is-the-five-5-million-dollar-gift-tax-exemption-about-to-end,,,0,0,open,open
1972,"Piercing the Corporate Veil","<h2 style=""text-align: center;"">Piercing the Corporate Veil</h2>
One of the biggest advantages to incorporating a business is liability protection. Forming a corporation, limited liability or similar entity forms what is called a corporate veil, a division between an entity and the personal assets of the shareholders of a corporation. If challenged in a lawsuit, IRS audit or other action, the veil of liability protection may be pierced and the shareholders may be held liable for the debts and/or liabilities of the corporation if it is found that the corporation did not follow proper corporate formalities.
<h3><strong>Shareholder Protection</strong></h3>
<a href=""/practices/limited-liability-companies/"">A corporation and an LLC is a legal person or entity that exists separately from its shareholders</a>. It may, therefore, contract or otherwise incur obligations apart from a shareholder. As a result, one desired aspect of a corporation is that shareholders (or in the case of an LLC, the members) are not individually liable for the debts or obligations of the entity. For purposes of our discussion, references herein to corporations will apply similarly to LLCs.

In some circumstances, however, courts will ignore the corporate identity and hold the individual shareholders liable for the debts and obligations of that corporation by applying a legal theory that is commonly referred to as the alter ego doctrine. Under this theory, if a party whose interest has been injured due to the acts of a corporation can prove that the corporation entity is the alter ego of one or more individuals, the court may hold the individuals themselves personally responsible for the injurious conduct.

Typically, an alter ego allegation is made against a corporation and its shareholders when the corporations assets or insurance are inadequate to respond to a claim or to pay a debt. A creditor who would otherwise go unpaid by the corporation will seek to hold its shareholders personally liable for the claim based on the theory that:
<ul class=""bullets"">
	<li>The shareholder has not treated the corporation as an entity separate and apart from themselves so why should the Court,</li>
	<li>When maintaining the corporate veil would be inequitable. Piercing the corporate veil has been granted in 40% of the cases where the issue was raised.</li>
</ul>
Piercing initiated by the federal government is effective in almost 60% of the cases it has raised and more than 80% of the time when raised in a regulatory context or in environmental litigation and in fraud cases [R. Thompson, Piercing the Corporate Veil: An Empirical Study, 76 Cornell L. Rev. 1036, 1948-49 (1991)].

The equitable remedy of piercing the corporate veil is applied in New Jersey in situations where the principal, i.e. owner, uses the corporation (or his LLC) as his alter ego and thus abuses the corporate form in order to advance his own personal interests. See<span style=""text-decoration: underline;"">Walensky v. Jonathan Royce International, Inc.</span>, 264 N.J. Super. 276 (App. Div. 1993). The two primary factors that weigh in favor of an alter ego finding are the use of the business as a personal business conduit and a lack of a separate corporate identity. Judge Stripp distinctly summarized the criteria for piercing the corporate veil under New Jersey common laws as follows:
<div>
<ol>
	<li>A shareholder disregarded the corporate entity and made it into a mere instrumentality for their own affairs.</li>
	<li>There was such a unity of interest and ownership that the owners and the corporation have no separate existence; and</li>
	<li>Upholding the corporate veil would protect fraud or promote other injustice.</li>
</ol>
</div>
<h3><strong>Piercing the Corporate Veil in Bankruptcy</strong></h3>
In Bankruptcy proceedings, the court uses a concept called substantive consolidation to in effect pierce the veil. This doctrine permits the bankruptcy court to pool all of the debtors assets as well as the assets of affiliated entities owned by the debtor, in order to satisfy claims against the debtor. Substantive consolidation will be allowed when:
<ul class=""bullets"">
	<li>The creditor dealt with the entities as a whole, and not as separate entities, and</li>
	<li>The affairs of the debtor are so intertwined that the consolidation would benefit all of the creditors.</li>
</ul>
A fruitful discussion of piercing the corporate veil in a bankruptcy case in New Jersey can be found in <span style=""text-decoration: underline;"">Buildings by Jamie, Inc.</span>, United States Bankruptcy Court, District of New Jersey, Case No. 96-39381. In<span style=""text-decoration: underline;"">Buildings by Jamie, Inc.</span>, the creditors of the bankrupt debtor sought to recover monies loaned to the debtor. The debtor was a close corporation which constructed homes for sale to third parties. During a certain period of time preceding the bankruptcy, loans were made to the debtor for use exclusively in the construction of these homes. The debtor did not repay the loans. The creditors allege that the debtor transferred the net proceeds of sale of several homes to Jamie, Inc. (not the debtor) for no consideration, which in turn transferred $100,000 to the individual owners again for no consideration. The creditors further allege that the debtors transferred accounts receivables to a related corporation for no consideration.

The creditors further argued that the individual debtors used the loan money from a guaranty for their personal benefit including construction of their personal residence and the purchase of real property and renovation of business property which was not owned by the debtor. Finally, the creditors alleged that in a series of transactions the debtor transferred all of its cash and several thousand dollars worth of assets to a related corporation for no consideration. During the period in question, the debtor ceased operations but the related corporations continued operations virtually indistinguishable from the debtors business. These corporations were operated from the same location, by the same employees, shared the same offices and had the same shareholder.

The plaintiff sought to compel the debtor to repay the loan obligations and the transfers among debtor and non-debtor defendants. In doing so, they allege that the individual shareholders were liable for the debtors debts based upon an alter ego theory. The plaintiffs relied on lack of corporate formalities among the debtor and the non-debtor defendants as well as the free transferability of assets and share ownership, use of the same employees, same location and same line of business.

The plaintiffs sought to pierce the corporate veil based upon the complete disregard of corporate formalities, free transfer of assets among the corporations and the shareholders and the interchangeable use of corporations.

In reviewing New Jersey alter ego law, Judge Stripps sitting in the Bankruptcy Court reaffirmed the principal that it is well settled in New Jersey that the doctrine of piercing the corporate veil is employed when fraud or injustice has been perpetrated. The court stated that the principal (owner) could be held liable under theories of piercing the corporate veil and successor liability because the principal was using the corporation as his alter ego and thus was abusing the corporate form in order to advance his own personal interest.

Factors which weighed heavily included the principals treatment of the corporation as a personal business conduit and that the corporation was a mere instrument through which the shareholder conducted their own affairs and furthermore the principal failed to maintain an identity separate and apart from the corporation. The court also noted that in New Jersey courts generally pierce the corporate veil where such unity of ownership exists where the corporation operates as an instrument of the shareholders personal business such that the failure to disregard the corporate entity would promote fraud. Finally, the court concluded that the bankruptcy trustee had the power to reach beyond the debtor corporation into the pockets of the corporations shareholders.
<h3>How to Avoid Having the Corporate Veil Pierced</h3>
Shareholders are not liable for corporate debts or lawsuit liability if the corporation is properly established and maintained. To help insure that creditors cannot pierce the corporate veil and seek judgments against the shareholders, corporate formalities must be observed, the corporation must be treated as an entity separate and apart from its shareholders. Make sure the corporation has done the following:
<ul class=""bullets"">
	<li><span style=""text-decoration: underline;"">Documentation and Formalities</span>: Create By-Laws, issue stock, maintain an up to date corporate minute book (do not wait for the night before an audit to create them), have separate books of account, file annual reports, have regular board meetings with all directors.</li>
	<li><span style=""text-decoration: underline;"">Avoid Co-mingling</span>: Do not co-mingle corporate assets with those of shareholders, all corporate assets should be titled in the corporate name. Corporations should have its own separate bank account. If you borrow from, or lend to the corporation, record an appropriate Resolution, sign a promissory note, charge fair market rate interest, make regular payments.</li>
	<li><span style=""text-decoration: underline;"">Capitalization</span>: Appropriately capitalize the corporation and purchase appropriate liability insurance.</li>
	<li><span style=""text-decoration: underline;"">Employment Agreements</span>: Enter into one between you and your corporation.</li>
	<li><span style=""text-decoration: underline;"">Multiple Corporation</span>: Avoid identical stock ownership of several corporations. Avoid having similar officers and directors. Use different business addresses, telephone numbers and employees.</li>
</ul>
In addition, the fact that a business is being operation as the corporation should be made evident. The words inc. or incorporated should be present on letterheads, business cards and corporate signs. Those who operate the entity should sign all contracts and documents in a corporate capacity indicating their corporate position.

In these uncertain times, the valuable advice you give your clients can pay dividends. An important part of estate planning and wealth preservation is the protection of assets. Keeping corporate liabilities separate from shareholders is an important part of the asset protection plan.

<em>This Scarinci Hollenbeck Client Alert has been prepared for the general information of clients and friends of the firm. It is not meant to provide legal advice with respect to any specific matter and should not be acted upon without professional counsel.</em>",,20120201,post,http://scarincihollenbeck.com/news/uncategorized/piercing-the-corporate-veil/,,,,,,,"Firm News>Legal Updates|Firm News>Uncategorized","corporation|Donald Scarinci|piercing the Corporate Veil|Scarinci|Scarinci Hollenbeck",publish,17,piercing-the-corporate-veil,,,0,0,open,open
2656,"Juvenile Diabetes Research Foundation, Honors Joel N. Kreizman","<a href=""http://www.jdrf.org/index.cfm?page_id=100598""><img class=""alignleft size-medium wp-image-2662"" title=""JDRF_logo"" alt="""" src=""http://www.scarincihollenbeck.com/wp-content/uploads/2012/02/JDRF_logo-e1329856336191-300x79.jpg"" width=""300"" height=""79"" /></a>CONGRATULATIONS to <a href=""../attorneys/counsel/joel-n-kreizman/""><strong>Joel Kreizman</strong></a> and his wife, Susan, who are being honored at this year’s “<a href=""http://www.jdrf.org/index.cfm?page_id=102985"" target=""_blank"">NEED FOR SPEED</a>” themed Gala event for the Central Jersey Chapter of Juvenile Diabetes Research Foundation. Joel and Susan are two of the founding members of the JDRF Central Jersey Chapter.  For more information, please see the Two River Times, February 3<sup>rd</sup> publication, by <a href=""http://trtnj.com/wp-content/uploads/2012/02/February-3-people.pdf"">clicking here</a>.",,20120221,post,http://scarincihollenbeck.com/news/just-in/juvenile-diabetes-research-foundation-honors-joel-n-kreizman/,,,,,,,"Firm News>Just In","JDRF|JDRF Central jersey Chapter|Joel Kreizman|Juvenile Diabetes Research Foundation|Scarinci Hollenbeck|Two River Times",publish,10,juvenile-diabetes-research-foundation-honors-joel-n-kreizman,,,0,0,open,open
3013,"New Jersey Supreme Court Decides 911 Operators Entitled to Immunity","In deciding an appeal filed by the Scarinci Hollenbeck Litigation Group on behalf of two 911 operators,  the New Jersey Supreme Court released its decision in <a href=""http://www.leagle.com/xmlResult.aspx?xmldoc=In%20NJCO%2020120308280.xml&amp;docbase=CsLwAr3-2007-Curr"" target=""_blank"">Paris Wilson v. City of Jersey City</a> yesterday morning (Thursday, March 8, 2012). The issue in this appeal was whether the 911 immunity statute, N.J.S.A 52:17C-10 provides immunity to 911 operators and their public-entity employers from civil liability for the negligent mishandling of emergency calls. The case, concerned the handling of an emergency call reporting a disturbance that, in fact, turned out to be a horrific multiple homicide involving a mother and her children. In the first New Jersey Supreme Court interpretation of this statute the court overruled two previously decided Appellate Decision cases and disapproved of a federal court case, when the New Jersey Supreme Court concluded that 911 operators in public entities had immunity from negligence in connection with the delivery of 911 services, including the mishandling of 911 calls. Arguing the case on behalf of the two Jersey City 911 call takers was <a href=""/attorneys/partners/robert-e-levy/"">Robert E. Levy</a>, Chair of the Scarinci Hollenbeck Litigation Group. Also working on the case were <a href=""/attorneys/counsel/michael-a-cifelli/"">Michael Cifelli</a>, CJ Griffin and <a href=""/attorneys/associates/christina-m-michelson/"">Christina Michelson</a>.

This is a significant victory because it provides protection to 911 call takers who are placed in stressful situations while handling emergency telephone calls. It insures that financially strapped municipalities and counties will avoid the expense of future lawsuits or the potential that insurance companies would not provide coverage for 911 operators. The decision is also likely to be followed throughout the United States, as many states have similar 911 immunity statutes.",,20120309,post,http://scarincihollenbeck.com/news/just-in/new-jersey-supreme-court-decides-911-operators-entitled-to-immunity/,,,,,,,"Firm News>Just In|Firm News>Litigation Alert","911 operators|christina michelson|city of jersey city|cj griffin|michael cifelli|new jersey supreme court|paris wilson|robert levy|scarinci and hollenbeck|Scarinci Hollenbeck",publish,10,new-jersey-supreme-court-decides-911-operators-entitled-to-immunity,,,0,0,open,open
