Origin,Target,Type,Format
/pix11-morning-show-discusses-donald-sterling-apology-sports-entertainment-lawyer-anthony-r-caruso,/anthony-caruso-discuses-donald-sterling/,301,plain
/international-business-publication-corporateintl-names-2014-tax-law-firm-of-the-year-in-new-jersey,/corporateintl-names-2014-tax-law-firm/,301,plain
/corporateintl-names-2014-tax-law-firm,/international-business-publication-corporateintl-names-2014-tax-law-firm-of-the-year-in-new-jersey/,301,plain
/brand-new-world-future-practicing-medicine-new-jersey,/the-future-practicing-medicine/,301,plain
/the-future-practicing-medicine,/the-future-of-practicing-medicine/,301,plain
/ocean-driving-directions,/ocean-township-driving-directoins/,301,plain
/scarinci-hollenbeck-welcomes-sharp-mahoney-attorneys,/sharp-mahoney-join-scarinci-hollenbeck/,301,plain
/administration/earl-manguiat__trashed,/administration/earl-manguiat/,301,plain
/administration/john-palumbo__trashed,/administration/john-palumbo/,301,plain
/administration/katerin-traugh__trashed,/administration/katerin-traugh/,301,plain
/administration/peter-s-moeller__trashed,/administration/peter-s-moeller/,301,plain
/firm-news/congratulations/holiday-video-2019,/firm-news/congratulations/2019-holiday-video/,301,plain
/law-firm-insights/business-law/will-commercial-space-travel-become-big-business-in-2013,/category/law-firm-insights/business-law/,301,plain
/firm-news/uncategorized/2019-holiday-video__trashed,/firm-news/uncategorized/2019-holiday-video/,301,plain
/firm-news/uncategorized/2019-holiday-video-2,/,410,plain
/firm-news/uncategorized/test-1,/,410,plain
/law-firm-insights/cannabis-law/federal-marijuana-legalization-bill-more-act-advancing-in-us-house,/law-firm-insights/cannabis-law/more-act-advancing-in-us-house/,301,plain
/happy-holidays-2018,/2019-happy-holidays/,301,plain
/firm-news/congratulations/2019-holiday-video,/2019-happy-holiday/,301,plain
/location/lyndhurst,/location/#lyndhurst,301,plain
/locations,/location/,301,plain
/location/red-bank,/location/#red-bank,301,plain
/location/new-york,/location/#new-york,301,plain
/location/washington-dc,/location/#washington-dc,301,plain
/location/san-francisco,/location/#san-francisco,301,plain
/attorneys/liana-m-nobile,/attorneys/,301,plain
/careers/securities-and-regulatory-attorney,/careers/,301,plain
/attorneys/roshan-d-shah,/attorneys/,301,plain
/careers/litigation-attorney,/careers/,301,plain
/make-payment,https://secure.lawpay.com/pages/scarincihollenbeck/operating,301,plain
/payments/?page=operating,https://secure.lawpay.com/pages/scarincihollenbeck/operating,301,plain
/firm-news/uncategorized/http-www-businesslawnews-com-interpretational-risk-in-takaful-insurance-products-takaful-insurance,/,410,plain
/firm-news/just-in/njicle-presents-theodore-roosevelt-and-the-progressive-era,/,410,plain
/attorney-search-results,/attorneys/,301,plain
/scarinci-hollenbeck-law-firm-news,/category/firm-news/,301,plain
/law-firm-insights/business-law/bankruptcy-creditors-rights/banks-unveil-bankruptcy-plans-in-living-wills-2,/law-firm-insights/business-law/bankruptcy-creditors-rights/banks-unveil-bankruptcy-plans-in-living-wills/,301,plain
